drug,uses
methylcobalamin + pregabalin,Treatment of Neuropathic pain
alpha ketoanalogue,Treatment of Chronic kidney disease
topiramate, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
prilocaine + lidocaine, Local anesthesia (Numb tissues in a specific area)
methylcobalamin + pregabalin,Treatment of Neuropathic pain
nebivolol + amlodipine, Hypertension (high blood pressure)
insulin aspart + insulin aspart protamine, Diabetes
atenolol + nifedipine, Hypertension (high blood pressure)
naltrexone, Opioid dependence Alcohol addiction
progesterone, Hormone replacement therapyTreatment of Female infertility
amlodipine + indapamide, Hypertension (high blood pressure)
insulin aspart,Treatment of Diabetes
nicorandil,Treatment of Angina (heart-related chest pain)
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
gabapentin + methylcobalamin,Treatment of Neuropathic pain
gliclazide + pioglitazone + metformin,Treatment of Type 2 diabetes mellitus
nimesulide, Pain reliefTreatment of Fever
levosulpiride, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn
naproxen + domperidone,Prevention of Migraine
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
terbinafine, Fungal infections
cetirizine + paracetamol + phenylephrine,Treatment of Common cold
hydroquinone + mometasone + tretinoin,Treatment of Melasma
amoxycillin + clavulanic acid,Treatment of Bacterial infections
minoxidil,Treatment of Hair loss
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
terbinafine, Fungal infections
ramosetron,Treatment of NauseaTreatment of VomitingTreatment of Diarrhea
desvenlafaxine, Depression
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
nebivolol + indapamide, Hypertension (high blood pressure)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
theophylline + levosalbutamol, Asthma
nepafenac,Treatment of Post-operative eye pain and inflammation
nebivolol + valsartan, Hypertension (high blood pressure)
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
nepafenac,Treatment of Post-operative eye pain and inflammation
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
prilocaine + lidocaine, Local anesthesia (Numb tissues in a specific area)
timolol + travoprost,Treatment of GlaucomaTreatment of Ocular hypertension
itraconazole,Treatment of Fungal infections
methylcobalamin,Treatment of Pernicious Anemia Vitamin B12 deficiency
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
terbinafine, Fungal skin infections
levosulpiride + dimethicone, Constipation
sodium bicarbonate,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis
ketoconazole, Fungal skin infections
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
amoxycillin,Treatment of Peptic ulcer diseaseTreatment of Bacterial infections
ketoconazole, Fungal skin infections
azilsartan medoxomil, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
lactitol, Constipation
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
amlodipine + indapamide, Hypertension (high blood pressure)
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
desvenlafaxine, Depression
nepafenac,Treatment of Post-operative eye pain and inflammation
minoxidil,Treatment of Hair loss
nimesulide, Pain reliefTreatment of Fever
nebivolol + amlodipine, Hypertension (high blood pressure)
nimesulide + paracetamol + serratiopeptidase, Pain relief
clobetasol + miconazole + neomycin,Treatment of Skin infections
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
olmesartan medoxomil + cilnidipine, Hypertension (high blood pressure)
sucralfate,Treatment of Intestinal ulcersTreatment of Stomach ulcers
itraconazole,Treatment of Fungal infections
aceclofenac + rabeprazole, Pain relief
folic acid + methylcobalamin + niacinamide, Nutritional deficiencies
miconazole + chlorhexidine gluconate + allantoin,Treatment of Skin infections
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
progesterone, Hormone replacement therapyTreatment of Female infertility
domperidone + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia
topiramate, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome
rifaximin,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
nimesulide, Pain reliefTreatment of Fever
methylcobalamin + pregabalin,Treatment of Neuropathic pain
adapalene + clindamycin,Treatment of Acne
nebivolol + amlodipine, Hypertension (high blood pressure)
nadifloxacin,Treatment of Bacterial skin infections
nimesulide, Pain relief
nitazoxanide + ofloxacin, Diarrhea Dysentery
nortriptyline, Depression Bed-wetting Neuropathic pain
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
sodium fluoride, Dental cavities
repaglinide,Treatment of Type 2 diabetes mellitus
bromfenac, Post-operative eye pain and inflammation
levonorgestrel, Emergency contraception
carboxymethylcellulose + sodium hyaluronate,Treatment of Dry eyes
chlorthalidone,Treatment of Hypertension (high blood pressure)Treatment of Edema
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
progesterone, Hormone replacement therapyTreatment of Female infertility
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
nebivolol + s-amlodipine, Hypertension (high blood pressure)
amoxycillin + pantoprazole + clarithromycin,Treatment of Peptic ulcer disease
pregabalin + nortriptyline + methylcobalamin + vitamin d, Neuropathic pain
citicoline,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
bromfenac, Post-operative eye pain and inflammation
progesterone, Hormone replacement therapy Female infertility
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
paracetamol, Pain reliefTreatment of Fever
folic acid + levo-carnitine, Nutritional deficiencies
bacitracin + neomycin + polymyxin b, Bacterial skin infections
nimesulide, Pain reliefTreatment of Fever
nepafenac,Treatment of Post-operative eye pain and inflammation
ketoconazole, Fungal skin infections
progesterone, Hormone replacement therapyTreatment of Female infertility
tranexamic acid,Treatment of Bleeding
aceclofenac + thiocolchicoside,Treatment of Pain due to muscle spasm
repaglinide,Treatment of Type 2 diabetes mellitus
tolnaftate, Fungal skin infections
isosorbide mononitrate,Prevention of Angina (heart-related chest pain)
enalapril,Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure
insulin isophane/nph + human insulin/soluble insulin, Diabetes
dextromethorphan hydrobromide, Dry cough
progesterone, Hormone replacement therapy Female infertility
pregabalin,Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
trioxasalen, Vitiligo Psoriasis
amoxycillin,Treatment of Bacterial infections
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
trioxasalen, Vitiligo Psoriasis
cilnidipine + metoprolol succinate, Hypertension (high blood pressure)
amoxycillin,Treatment of Bacterial infections
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
torasemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
nitroglycerin,Treatment of Angina (heart-related chest pain)
ketoconazole, Fungal skin infections
onabotulinumtoxina, Overactive bladder (OAB) symptomsPrevention of Migraine Cervical Dystonia Muscle spasm
olmesartan medoxomil + cilnidipine, Hypertension (high blood pressure)
nimesulide + paracetamol + chlorzoxazone, Pain due to muscle spasm
desvenlafaxine, Depression
ketoconazole,Treatment of Fungal infections
amoxycillin,Treatment of Peptic ulcer diseaseTreatment of Bacterial infections
piracetam, Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
s-amlodipine + telmisartan, Hypertension (high blood pressure)
ketoconazole, Fungal skin infections
isosorbide mononitrate,Prevention of Angina (heart-related chest pain)
levo-carnitine, Carnitine deficiency
diclofenac, Pain relief
doxylamine + vitamin b + folic acid,Treatment of Nausea and vomiting in pregnancy
posaconazole, Severe fungal infections
losartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
nicotine, Quitting smoking
losartan + amlodipine, Hypertension (high blood pressure)
nimesulide, Pain reliefTreatment of Fever
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
naproxen + esomeprazole, Pain relief
adapalene + clindamycin,Treatment of Acne
nimorazole, Bacterial infections Parasitic infections
etodolac, Pain relief
cetrimide + permethrin, Scabies
diclofenac, Pain relief
pregabalin + methylcobalamin + folic acid + vitamin b + alpha lipoic acid, Neuropathic pain
diphenhydramine,Treatment of Allergic skin conditions
nitroglycerin,Treatment of Angina (heart-related chest pain)
prilocaine + lidocaine, Local anesthesia (Numb tissues in a specific area)
levetiracetam,Treatment of Epilepsy/Seizures
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
niacinamide,Treatment of Nutritional deficiencies
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
niacinamide,Treatment of Nutritional deficiencies
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
hydroxyprogesterone,Prevention of Premature Labor
naproxen + domperidone,Prevention of Migraine
nebivolol + amlodipine, Hypertension (high blood pressure)
itraconazole,Treatment of Fungal infections
ulipristal acetate, Uterine fibroids
neomycin, Bacterial skin infections
sorafenib, Liver cancer Kidney cancer Thyroid cancer
citicoline,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
mefenamic acid + paracetamol, Pain reliefTreatment of Fever
nebivolol,Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
acetylcysteine,Treatment of Paracetamol toxicity
melatonin,Treatment of InsomniaTreatment of Jet lag
doxepin, Eczema
citicoline,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
nadifloxacin,Treatment of Bacterial skin infections
nadifloxacin + clobetasol,Treatment of Skin infections
azilsartan medoxomil, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
losartan + amlodipine, Hypertension (high blood pressure)
voglibose,Treatment of Type 2 diabetes mellitus
venlafaxine, Depression Anxiety disorder
tadalafil,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH)
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
nebivolol + hydrochlorothiazide, Hypertension (high blood pressure)
adapalene + clindamycin,Treatment of Acne
miconazole + neomycin,Treatment of Skin infections
ofloxacin + ornidazole,Treatment of Bacterial & parasitic infections
ethinyl estradiol + levonorgestrel, Contraception
prednisolone,Treatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome
ofloxacin + ornidazole,Treatment of Bacterial & parasitic infections
ondansetron,Treatment of NauseaTreatment of Vomiting
omeprazole,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
ofloxacin + metronidazole,Treatment of Bacterial & parasitic infectionsTreatment of DiarrheaTreatment of Dysentery
ofloxacin + dexamethasone,Treatment of Bacterial eye infections
cetirizine,Treatment of Allergic conditions
ofloxacin, Bacterial eye infectionsTreatment of Bacterial infections
ondansetron,Treatment of NauseaTreatment of Vomiting
prednisolone,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome
omeprazole,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
dapagliflozin,Treatment of Type 2 diabetes mellitus
domperidone + omeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
ofloxacin + dexamethasone,Treatment of Bacterial infections
